#{"t_start": 1674316415.0256553, "env_id": "gripper-env-v0"}
r,l,t
9698.247516,3,4905.390549
8697.206163,8,4907.15748
9697.986842,3,4908.440194
8298.000747,10,4910.073566
7503.70233,14,4912.024225
9298.041271,5,4913.37356
-20100.379666,152,4927.757707
9498.631637,4,4929.057048
9099.493273,6,4930.523074
9298.593858,5,4931.873361
9099.346953,6,4933.339969
8898.333737,7,4934.857496
9214.873825,6,4936.34088
7898.090948,12,4938.141311
6097.657403,21,4940.690928
5497.962081,24,4943.840521
9299.095372,5,4945.591954
9499.694057,4,4946.923471
8499.495215,9,4948.506917
9698.335284,3,4949.824203
9497.596627,4,4951.191071
10000.0,1,4952.407114
8812.691251,8,4953.974712
-1908.080503,62,4960.441751
-3504.933196,69,4966.708584
9097.591837,6,4968.174729
9698.311586,3,4969.507037
9298.003945,5,4970.908079
9097.472319,6,4972.274809
9300.774824,5,4973.674575
7792.690017,13,4975.558753
9299.311555,5,4977.058096
9494.015285,4,4978.457712
6300.223383,20,4981.374353
9500.36886,4,4982.707496
9300.424612,5,4984.041363
9298.300205,5,4985.391594
8415.153436,10,4987.091804
9698.990198,3,4988.391473
9297.943062,5,4989.994394
9498.236363,4,4991.291328
9297.134661,5,4992.674863
8699.340356,8,4994.22462
9698.186082,3,4995.575594
8700.299864,8,4997.158964
9698.697984,3,4998.474237
8400.078616,10,5000.291923
8698.622451,8,5001.891885
9605.311754,4,5003.292111
-40000.0,200,5017.391886
9499.400488,4,5018.707988
9098.276829,6,5020.344007
-40000.0,200,5037.559232
8601.905837,9,5039.275888
9212.871838,6,5040.642004
6099.999965,21,5043.175826
9698.859736,3,5044.474699
-24112.335753,172,5057.060008
9299.019069,5,5058.643963
9500.901886,4,5059.991799
9697.70017,3,5061.275555
8698.379184,8,5062.842236
9497.974632,4,5064.192718
9497.895219,4,5065.577039
8096.339363,12,5067.392406
9698.781336,3,5068.6925
9500.629215,4,5070.025666
9300.198434,5,5071.359044
9696.952913,3,5072.642377
9299.69958,5,5074.026385
9298.015842,5,5075.394627
9301.313842,5,5076.826414
4699.874594,28,5080.159564
9300.47847,5,5081.492413
10000.0,1,5082.793265
10000.0,1,5083.92494
8996.806657,7,5085.425945
9500.772815,4,5086.759556
-20206.439369,153,5101.959757
9301.34311,5,5103.39396
7600.952795,14,5105.326641
8500.387028,9,5106.960242
9698.655,3,5108.160047
6398.768941,20,5110.509952
7495.395317,14,5112.976854
-26901.783333,186,5124.860156
9098.448752,6,5126.246122
9697.932688,3,5127.946251
9500.061483,4,5129.376836
9499.512487,4,5130.86109
9497.605019,4,5132.11185
10000.0,1,5133.310206
10000.0,1,5134.54364
8298.426691,10,5136.427588
9300.439316,5,5137.896489
9297.793862,5,5139.293856
8813.123937,8,5140.860059
9204.669514,6,5142.343449
9094.878115,6,5143.760145
8611.709754,9,5145.377368
9698.529071,3,5146.677254
9698.02406,3,5147.976611
8897.026536,7,5149.428167
10000.0,1,5150.812945
7682.230405,13,5152.727771
9098.248906,6,5154.12751
9698.374537,3,5155.427456
5296.639684,25,5158.36119
10000.0,1,5159.54424
9298.147745,5,5160.944328
9699.233155,3,5162.193489
8898.748518,7,5163.644548
8898.609952,7,5165.460831
7898.421938,12,5167.128013
9698.324897,3,5168.410708
8997.688755,7,5170.027825
8996.659975,7,5171.510486
9302.022937,5,5172.910915
8900.255624,7,5174.479844
10000.0,1,5175.662333
9297.913236,5,5177.079265
8598.219811,9,5178.694941
8696.89876,8,5180.34504
9299.346804,5,5181.727922
9612.574983,4,5183.110979
9100.915917,6,5184.644851
4698.757147,28,5187.745134
9497.31152,4,5189.144738
-15503.125284,129,5196.844755
9301.501247,5,5198.344517
9698.590336,3,5199.62801
4297.483603,30,5202.862412
10000.0,1,5204.026854
8688.159807,8,5205.628628
9500.864797,4,5206.978117
8898.692046,7,5208.646996
9297.768802,5,5209.978129
10000.0,1,5211.211262
9497.565306,4,5212.527562
8484.073032,9,5214.178132
7697.917918,13,5216.229571
9098.401327,6,5217.695111
8900.296169,7,5219.179026
9499.600793,4,5220.478368
9292.911351,5,5221.877847
9496.299936,4,5223.144093
9098.866644,6,5224.594412
9298.015874,5,5226.044822
8207.036929,11,5227.71198
9298.461403,5,5229.044937
9499.368045,4,5230.311789
9498.982005,4,5231.645204
9699.167496,3,5232.980091
9499.372804,4,5234.294502
9296.426375,5,5235.711692
9499.575516,4,5236.994046
9097.754683,6,5238.344182
8898.264038,7,5239.845126
6300.00045,20,5242.128124
9698.367759,3,5243.427735
3515.866771,35,5246.761826
9498.664238,4,5248.280204
9294.739179,5,5249.645044
9292.242811,5,5251.24467
4305.514588,34,5254.594639
9900.002414,2,5255.827153
7000.276085,17,5257.99505
9498.090797,4,5259.528853
9298.274435,5,5260.961573
9697.44361,3,5262.243903
9499.597821,4,5263.544339
7694.42053,14,5265.461732
-40000.0,200,5281.361573
5900.332867,23,5283.961674
-2302.595247,63,5289.545678
8499.691923,9,5291.19415
7996.838463,12,5293.145331
9098.17764,6,5294.577684
7898.420364,12,5296.528989
9612.919625,4,5297.877759
9413.237586,5,5299.22765
